City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
75,songyuan,45.1171,124.8568,295.62,96,few clouds,6.44,CN,1690658102
76,san luis,-33.295,-66.3356,296.03,21,overcast clouds,3.8,AR,1690657874
77,isafjordur,66.0755,-23.124,282.85,82,broken clouds,2.51,IS,1690657702
78,geraldton,-28.7667,114.6,288.38,94,overcast clouds,3.09,AU,1690657610
79,anadyr,64.75,177.4833,287.43,82,light rain,3.0,RU,1690657676
80,papatowai,-46.5619,169.4708,280.76,82,overcast clouds,1.69,NZ,1690657608
81,emmett,43.8735,-116.4993,305.97,19,overcast clouds,0.45,US,1690658104
82,akrehamn,59.2667,5.1833,290.6,82,broken clouds,3.09,NO,1690658104
83,chita,52.0333,113.55,288.09,93,scattered clouds,1.0,RU,1690657497
84,whitehorse,60.7161,-135.0538,294.58,46,few clouds,4.12,CA,1690657544
85,talnakh,69.4865,88.3972,292.52,80,light rain,2.37,RU,1690657681
86,aykhal,66.0,111.5,288.1,65,few clouds,1.75,RU,1690657603
87,sandnessjoen,66.0217,12.6316,288.44,90,broken clouds,3.55,NO,1690657644
88,colonia,50.9333,6.95,294.18,83,light rain,3.07,DE,1690657637
89,hilo,19.7297,-155.09,300.9,72,scattered clouds,1.54,US,1690657794
90,ribeira grande,38.5167,-28.7,299.14,78,few clouds,7.2,PT,1690657608
91,al jawf,29.5,38.75,305.87,14,clear sky,3.79,SA,1690657758
92,san andres,12.5847,-81.7006,305.16,70,few clouds,5.66,CO,1690658107
93,east london,-33.0153,27.9116,290.08,45,broken clouds,8.9,ZA,1690657631
94,la huacana,18.9667,-101.8167,306.41,46,scattered clouds,1.87,MX,1690658107
95,thunder bay,48.4001,-89.3168,296.1,43,broken clouds,2.06,CA,1690657364
96,hamilton,39.1834,-84.5333,305.25,63,few clouds,5.14,US,1690657696
97,melfort,52.8667,-104.6177,295.22,33,broken clouds,3.6,CA,1690658108
98,chilliwack,49.1747,-121.9443,297.68,62,few clouds,2.06,CA,1690658108
99,tralee,52.2704,-9.7026,287.72,88,light rain,7.42,IE,1690657670
100,yamada,39.4667,141.95,296.96,79,scattered clouds,2.11,JP,1690658109
101,serowe,-22.3833,26.7167,292.65,28,clear sky,3.65,BW,1690658109
102,quelimane,-17.8786,36.8883,296.12,88,clear sky,5.36,MZ,1690657522
103,klyuchi,52.2667,79.1667,293.31,89,light rain,4.16,RU,1690657700
104,ati,13.2154,18.3353,307.79,34,overcast clouds,3.14,TD,1690658110
105,kirkwall,58.9848,-2.9587,288.18,88,overcast clouds,4.12,GB,1690658110
106,invercargill,-46.4,168.35,276.49,92,overcast clouds,1.34,NZ,1690657601
107,muravlenko,63.7898,74.523,288.56,95,light rain,5.98,RU,1690658111
108,fale old settlement,-9.3852,-171.2468,301.21,75,light rain,6.95,TK,1690657685
109,ouadda,8.0777,22.4007,295.31,89,scattered clouds,0.67,CF,1690658111
110,san patricio,28.017,-97.5169,310.12,39,broken clouds,6.35,US,1690657691
111,masterton,-40.9597,175.6575,275.42,95,clear sky,0.81,NZ,1690657644
112,berdigestyakh,62.0989,126.6992,284.93,73,scattered clouds,2.13,RU,1690658112
113,bol,13.4586,14.7147,302.19,64,few clouds,2.49,TD,1690658112
114,tanjung pandan,-2.75,107.65,298.68,78,overcast clouds,4.13,ID,1690658112
115,montrose,38.4166,-108.2673,299.11,15,overcast clouds,3.57,US,1690658112
116,tazacorte,28.629,-17.9293,297.69,83,few clouds,6.69,ES,1690657760
117,jolo,6.05,121.0167,298.86,91,overcast clouds,2.15,PH,1690657796
118,jamestown,42.097,-79.2353,295.92,94,overcast clouds,8.75,US,1690657601
119,saint-louis du nord,19.9333,-72.7167,303.33,70,overcast clouds,7.21,HT,1690658113
120,high river,50.5834,-113.8687,298.24,58,clear sky,4.4,CA,1690658113
121,bilibino,68.0546,166.4372,280.55,94,overcast clouds,1.61,RU,1690657597
122,khash,28.2211,61.2158,299.74,50,scattered clouds,4.2,IR,1690658114
123,arkhangel'sk,64.5401,40.5433,291.2,61,overcast clouds,1.64,RU,1690658114
124,edd,13.9297,41.6925,306.23,63,broken clouds,4.45,ER,1690658114
125,kutum,14.2,24.6667,300.72,48,light rain,6.61,SD,1690658114
126,vilyuchinsk,52.9306,158.4028,287.3,95,overcast clouds,0.95,RU,1690658115
127,saint-joseph,-21.3667,55.6167,293.36,77,few clouds,5.35,RE,1690657547
128,callao,-12.0667,-77.15,296.31,60,scattered clouds,3.09,PE,1690657604
129,khovd,48.0056,91.6419,291.13,37,overcast clouds,3.07,MN,1690658115
130,aleksandrovsk,59.158,57.5624,291.37,92,clear sky,1.13,RU,1690658116
131,yeraliyev,43.2,51.65,299.53,51,clear sky,7.25,KZ,1690657959
132,pacific grove,36.6177,-121.9166,301.62,87,mist,4.92,US,1690657637
133,pemangkat,1.1667,108.9667,298.89,85,overcast clouds,3.5,ID,1690657994
134,milagro,42.2386,-1.764,299.52,58,clear sky,8.87,ES,1690658117
135,wajir,1.7471,40.0573,300.99,50,broken clouds,7.75,KE,1690657879
136,tolanaro,-25.0319,46.9987,292.98,85,clear sky,5.49,MG,1690657697
137,timaru,-44.4,171.25,277.08,96,clear sky,2.18,NZ,1690657874
138,sittwe,20.15,92.9,300.44,91,overcast clouds,5.47,MM,1690658123
